"cluster_membership","name","degrees","color","betweeness","closeness","eigenvectors"
13,"C1orf162",18,"#F0FF00",106.603495767276,0.00294985250737463,0.192303916479817
9,"GAS6",4,"#FFB400",133,0.00234192037470726,0.112516997641062
13,"C1QB",18,"#F0FF00",170.367270792272,0.0028169014084507,0.176918014553769
50,"PVRL4",1,"#5300FF",0,0.00165016501650165,0.000487525691414376
9,"CTSK",23,"#FFB400",200.525521974927,0.00292397660818713,0.802061189205831
9,"MRVI1",16,"#FFB400",3.15700654282016,0.00271739130434783,0.657529658408643
9,"LEF1",9,"#FFB400",2.49187831806094,0.00277008310249307,0.392824225035751
1,"PLCD4",1,"#FF0000",0,0.00242130750605327,0.0207187189668368
61,"ZNF37B",0,"#FF00B4",0,NA,0
1,"MEGF9",12,"#FF0000",109.230662301795,0.0029940119760479,0.185007706006857
9,"GINS2",6,"#FFB400",3.78786665854951,0.00273972602739726,0.164136286901597
62,"FAM13A",0,"#FF009D",0,NA,0
63,"CPT1A",0,"#FF0087",0,NA,0
64,"SNX10",0,"#FF0070",0,NA,0
65,"TRIM45",0,"#FF005A",0,NA,0
1,"ELP2",10,"#FF0000",14.6397462002321,0.00266666666666667,0.107720535646119
13,"ALOX5",11,"#F0FF00",0.4,0.0024390243902439,0.14468187701674
66,"AMN1",0,"#FF0043",0,NA,0
9,"CERCAM",13,"#FFB400",1.97540481121843,0.00269541778975741,0.538613561614729
1,"SEMA3C",23,"#FF0000",329.355207269743,0.00328947368421053,0.423960088871945
67,"KRT8",0,"#FF002D",0,NA,0
68,"TP53INP2",0,"#FF0016",0,NA,0
9,"JAM3",26,"#FFB400",326.767715075781,0.0033112582781457,0.911690600911188
1,"ZNF680",5,"#FF0000",0.879365079365079,0.00245098039215686,0.0633597287212749
1,"PBX1",8,"#FF0000",6.06465839228997,0.0026525198938992,0.0876861407895749
